ID_Visitor,Visits,products_visits,products_category_visits,deviceCategory,campaign,medium,continent,Product_Category,CA
ID5590743844926892757,1148,134,21,desktop,(not set),(none),Americas,Bags,69337.390000000043
ID5590743844926892757,1148,134,21,desktop,(not set),(none),Americas,Backpacks,69337.390000000043
ID5590743844926892757,1148,134,21,desktop,(not set),(none),Americas,Accessories,69337.390000000043
ID5590743844926892757,1148,134,21,desktop,(not set),(none),Americas,Apparel,69337.390000000043
ID5590743844926892757,1148,134,21,desktop,(not set),(none),Americas,Drinkware,69337.390000000043
ID5590743844926892757,1148,134,21,desktop,(not set),(none),Americas,Office,69337.390000000043
ID6805387544309582877,469,168,29,desktop,(not set),(none),Americas,Drinkware,44143.880000000012
ID6805387544309582877,469,168,29,desktop,(not set),(none),Americas,Office,44143.880000000012
ID6805387544309582877,469,168,29,desktop,(not set),(none),Americas,Lifestyle,44143.880000000012
ID6805387544309582877,469,168,29,desktop,(not set),(none),Americas,Housewares,44143.880000000012
ID6805387544309582877,469,168,29,desktop,(not set),(none),Americas,Apparel,44143.880000000012
ID6499749315992064304,294,78,14,desktop,(not set),(none),Americas,Office,25010.88
ID6499749315992064304,294,78,14,desktop,(not set),(none),Americas,Apparel,25010.88
ID6499749315992064304,294,78,14,desktop,(not set),(none),Americas,Bags,25010.88
ID6499749315992064304,294,78,14,desktop,(not set),(none),Americas,Drinkware,25010.88
ID6499749315992064304,294,78,14,desktop,(not set),(none),Americas,Headgear,25010.88
ID2297135054731105073,406,95,14,desktop,(not set),(none),Americas,Apparel,24627.150000000005
ID2297135054731105073,406,95,14,desktop,(not set),(none),Americas,Drinkware,24627.150000000005
ID2297135054731105073,406,95,14,desktop,(not set),(none),Americas,Electronics,24627.150000000005
ID2297135054731105073,406,95,14,desktop,(not set),(none),Americas,Office,24627.150000000005
ID4997974283801871350,482,165,27,desktop,(not set),(none),Americas,Electronics,19745.999999999993
ID4997974283801871350,482,165,27,desktop,(not set),(none),Americas,Office,19745.999999999993
ID4997974283801871350,482,165,27,desktop,(not set),(none),Americas,Bags,19745.999999999993
ID4997974283801871350,482,165,27,desktop,(not set),(none),Americas,Lifestyle,19745.999999999993
ID4997974283801871350,482,165,27,desktop,(not set),(none),Americas,Drinkware,19745.999999999993
ID4997974283801871350,482,165,27,desktop,(not set),(none),Americas,Apparel,19745.999999999993
ID7990135994432965391,507,131,24,desktop,(not set),(none),Americas,Apparel,16237.75
ID7990135994432965391,507,131,24,desktop,(not set),(none),Americas,Office,16237.75
ID7990135994432965391,507,131,24,desktop,(not set),(none),Americas,Drinkware,16237.75
ID7990135994432965391,507,131,24,desktop,(not set),(none),Americas,Bags,16237.75
ID7990135994432965391,507,131,24,desktop,(not set),(none),Americas,Electronics,16237.75
ID7990135994432965391,507,131,24,desktop,(not set),(none),Americas,Lifestyle,16237.75
ID3444642706013409818,280,135,20,desktop,(not set),(none),Americas,Bottles,16088.0
ID3444642706013409818,280,135,20,desktop,(not set),(none),Americas,Office,16088.0
ID3444642706013409818,280,135,20,desktop,(not set),(none),Americas,Apparel,16088.0
ID3444642706013409818,280,135,20,desktop,(not set),(none),Americas,Electronics,16088.0
ID3444642706013409818,280,135,20,desktop,(not set),(none),Americas,Headgear,16088.0
ID3158455409969332495,784,79,11,desktop,(not set),(none),Americas,${productitem.product.origCatName},15103.899999999998
ID3158455409969332495,784,79,11,desktop,(not set),(none),Americas,Apparel,15103.899999999998
ID626672651895030919,728,162,22,desktop,(not set),(none),Americas,Office,14721.750000000009
ID626672651895030919,728,162,22,desktop,(not set),(none),Americas,Drinkware,14721.750000000009
ID626672651895030919,728,162,22,desktop,(not set),(none),Americas,Bags,14721.750000000009
ID626672651895030919,728,162,22,desktop,(not set),(none),Americas,Apparel,14721.750000000009
ID1109190750765217972,584,134,24,desktop,(not set),(none),Americas,Bags,14450.479999999992
ID1109190750765217972,584,134,24,desktop,(not set),(none),Americas,Headgear,14450.479999999992
