ID_Transaction,deviceCategory,operatingSystem,campaign,medium,continent,Products,Products_Category,CA
ORD201704182260,desktop,Windows,(not set),cpm,Americas,74,2,477526.46000000014
ORD201707132695,desktop,Windows,(not set),(none),Americas,72,1,405468.85
ORD201704052324,desktop,Windows,(not set),cpm,Americas,34,7,399032.92000000004
ORD201609161805,desktop,Windows,(not set),(none),Americas,42,1,336687.75
ORD201702142258,desktop,Windows,(not set),(none),Americas,32,6,285752.0
ORD201707182786,desktop,Windows,(not set),(none),Americas,24,6,147466.58000000002
ORD201704072079,desktop,Windows,(not set),cpm,Americas,32,1,109311.36000000004
ORD201704212136,desktop,Macintosh,(not set),(none),Americas,58,5,101763.04999999996
ORD201705312640,desktop,Macintosh,(not set),(none),Americas,26,3,72909.2
ORD201611303249,desktop,Windows,(not set),(none),Americas,28,4,67894.4
ORD201612193149,desktop,Windows,(not set),(none),Americas,52,6,66182.48000000004
ORD201706282686,desktop,Chrome OS,(not set),(none),Americas,26,3,55766.099999999984
ORD201707052707,desktop,Macintosh,(not set),(none),Americas,26,5,52176.279999999992
ORD201701312045,desktop,Macintosh,(not set),(none),Americas,50,4,46635.850000000013
ORD201610021055,desktop,Windows,(not set),organic,Americas,38,1,46509.530000000006
ORD201704071926,desktop,Windows,(not set),cpm,Americas,30,1,45452.999999999993
ORD201608251640,desktop,Windows,(not set),organic,Americas,46,1,45261.680000000008
ORD201612153015,desktop,Macintosh,(not set),(none),Americas,22,5,44143.880000000012
ORD201703242139,desktop,Windows,(not set),cpm,Americas,10,1,43404.15
ORD201704272639,desktop,Macintosh,(not set),(none),Americas,20,3,42740.0
ORD201609152143,desktop,Windows,(not set),organic,Americas,38,1,35989.42
ORD201611252534,desktop,Macintosh,(not set),(none),Americas,48,6,35312.640000000007
ORD201610201866,desktop,Windows,(not set),(none),Americas,24,5,32904.6
ORD201705173308,desktop,Macintosh,(not set),(none),Americas,38,6,32486.770000000011
ORD201705092292,desktop,Macintosh,(not set),organic,Americas,40,5,31465.400000000005
ORD201704032215,desktop,Chrome OS,AW - Accessories,cpc,Americas,48,8,28752.960000000014
ORD201703022046,desktop,Chrome OS,(not set),(none),Americas,44,7,26862.219999999987
ORD201707301718,mobile,Android,(not set),(none),Americas,58,6,26516.44000000001
ORD201706132365,desktop,Macintosh,(not set),(none),Americas,30,3,25523.700000000004
ORD201612143102,desktop,Windows,(not set),(none),Americas,32,5,25010.88
